Distance(km) Intensity
43.9 3.3
110.1 3.7
144.4 2.6
259.0 2.1
88.7 3.0
85.9 2.2
95.2 3.1
30.2 3.0
110.0 2.2
193.9 2.2
195.6 2.2
105.6 2.4
464.6 3.3
59.1 2.0
201.4 2.9
194.9 2.9
177.0 2.2
192.4 4.2
122.9 2.8
428.2 1.0
111.9 3.0
1452.9 2.5
208.1 2.0
188.7 2.0
83.1 2.2
76.1 2.5
159.7 1.0
442.3 2.2
49.4 2.3
111.6 1.0
81.7 2.6
110.9 2.5
68.5 2.0
32.6 2.9
63.2 3.1
186.1 2.7
155.3 2.0
53.2 3.3
310.5 2.2
222.5 2.0
223.0 2.9
238.4 2.2
139.7 2.0
216.8 2.2
145.0 3.3
245.2 2.2
165.8 2.5
64.8 2.0
236.1 2.2
88.9 2.9
190.3 2.0
133.5 2.9
70.3 2.3
83.7 1.0
198.5 2.9
127.9 2.2
83.4 2.9
57.3 3.2
89.2 2.8
371.8 2.0
104.1 2.7
233.0 2.6
383.3 2.7
299.3 3.2
462.9 2.0
54.6 2.7
203.2 3.1
68.9 2.8
327.1 2.0
112.4 3.4
174.1 2.5
302.0 2.2
266.7 2.0
174.0 2.0
133.2 2.5
79.4 2.3
130.4 3.1
82.7 2.0
128.4 2.6
97.5 2.8
236.3 2.6
137.5 3.1
106.1 2.7
261.6 2.1
90.2 2.0
163.9 2.5
145.1 2.0
158.7 2.8
843.8 2.2
87.7 2.2
43.5 3.0
174.8 2.7
387.2 3.4
87.9 2.5
193.9 2.3
193.4 3.8
774.5 2.2
193.9 1.0
70.4 3.1
124.7 2.9
183.5 2.2
209.8 4.1
153.3 2.6
151.7 2.5
48.0 2.2
30.8 3.3
110.9 3.0
48.3 2.8
253.5 2.2
119.4 2.5
76.1 3.1
195.1 2.9
181.0 3.3
216.1 2.0
436.9 3.7
92.4 2.5
72.3 2.8
60.6 3.1
291.0 3.1
173.3 3.1
33.1 3.4
71.7 2.2
83.9 2.8
347.3 2.0
111.7 2.4
115.4 2.2
96.8 2.0
275.5 1.0
173.1 2.5
230.8 2.2
110.9 2.8
179.8 4.1
54.7 2.0
244.0 3.4
105.8 2.0
61.1 2.7
44.3 3.4
116.9 2.0
123.6 2.0
213.5 3.4
99.0 2.7
113.0 2.8
328.5 2.9
32.4 3.1
113.5 2.8
40.7 2.5
186.6 2.2
114.0 3.1
153.9 2.0
61.7 3.0
100.8 3.0
97.1 2.9
286.6 2.0
147.3 3.0
185.5 2.5
206.9 2.0
21.3 3.2
146.3 2.7
93.0 2.9
96.4 3.1
48.3 2.8
12.6 3.7
323.9 3.3
66.6 3.1
159.0 2.3
118.2 2.0
212.4 2.2
200.0 1.0
78.7 2.3
347.7 2.0
112.5 2.2
280.9 2.0
124.8 2.7
89.3 2.8
429.3 2.0
110.6 2.0
1036.5 3.1
217.0 2.2
603.0 2.0
105.3 2.1
372.0 2.2
288.7 2.9
97.7 2.0
130.2 2.8
168.3 2.5
75.4 2.6
102.9 3.1
51.5 3.0
38.6 3.2
87.7 2.7
330.8 3.1
292.8 2.0
231.0 2.7
588.9 1.0
250.5 2.0
165.7 2.7
315.5 3.1
85.7 3.1
52.2 2.8
62.0 2.5
240.7 2.0
330.7 2.0
259.3 2.0
26.0 3.4
330.3 2.2
71.6 2.7
74.0 3.1
67.3 2.7
42.8 2.5
119.1 2.9
249.5 2.5
121.3 3.1
604.4 2.7
137.3 2.5
79.7 2.0
59.6 2.9
281.8 1.0
337.2 3.8
43.8 2.7
50.2 3.1
93.4 2.2
40.0 2.2
54.5 2.4
223.2 2.6
91.0 2.4
265.3 2.7
189.3 3.4
425.2 1.0
123.6 2.2
39.4 2.7
313.2 2.2
374.5 2.7
257.4 1.0
211.4 3.4
163.7 2.2
65.4 2.1
327.0 3.1
132.9 1.0
299.2 2.0
141.0 2.2
114.9 3.0
278.7 3.0
152.7 3.4
448.5 2.8
339.2 3.1
139.1 2.0
90.1 2.0
39.9 2.8
136.7 2.7
169.5 2.9
30.0 2.8
274.1 2.7
210.8 3.3
92.4 2.0
109.4 3.2
273.4 1.0
315.4 2.0
441.8 2.0
462.3 3.8
227.3 2.6
87.9 3.0
114.7 2.2
78.4 3.3
324.7 2.7
81.3 2.7
278.5 2.7
197.2 2.0
233.9 1.0
172.6 2.5
163.2 2.5
90.1 2.2
446.9 2.0
75.9 3.3
247.1 2.0
375.6 2.7
196.2 2.2
179.9 3.1
116.1 3.1
61.8 2.0
175.6 2.9
186.7 2.1
51.8 2.9
61.3 3.0
22.0 2.9
265.4 2.0
206.9 2.4
142.0 2.8
167.9 2.0
123.3 3.1
41.8 2.8
231.0 2.0
1121.2 1.0
322.9 3.1
123.9 3.4
239.7 2.0
258.0 2.0
110.9 1.0
69.5 2.8
472.0 2.6
125.0 2.0
115.0 2.9
194.0 2.1
222.6 2.0
141.5 3.1
237.1 3.2
97.2 2.7
213.3 2.5
123.3 2.7
371.4 3.1
424.0 2.0
363.1 2.9
241.6 3.9
184.9 2.0
329.9 3.1
58.1 2.4
137.4 3.3
159.6 2.8
442.1 2.7
92.1 2.5
266.3 2.2
255.1 3.4
96.1 2.0
50.2 3.0
323.9 2.7
258.8 2.4
197.4 3.1
74.6 2.6
95.3 3.0
236.3 4.1
117.8 2.2
1091.1 2.0
280.7 2.0
67.1 2.8
149.2 2.7
1814.8 2.0
337.4 3.8
158.5 3.2
139.9 2.0
280.4 2.0
104.0 3.1
24.0 3.4
45.9 3.2
191.0 2.7
120.0 2.0
42.7 3.3
191.7 3.1
257.7 2.0
211.1 4.2
49.0 2.9
52.6 2.7
274.7 2.0
123.5 3.3
95.2 3.2
84.0 2.3
352.8 3.3
61.8 2.0
737.7 2.0
103.0 2.7
237.2 2.1
222.2 3.1
287.6 2.2
75.1 2.8
495.5 2.0
95.2 2.0
960.1 3.4
175.1 3.1
131.1 3.2
493.4 3.5
136.4 1.0
252.2 2.7
183.3 2.0
70.6 2.8
268.8 3.1
54.5 2.8
64.2 2.7
73.9 2.7
84.7 3.0
101.7 2.5
292.7 2.0
1854.7 2.2
229.6 2.0
145.6 2.7
196.8 3.5
81.3 3.2
146.2 2.9
190.2 2.0
142.2 2.2
1147.4 2.7
124.0 3.0
106.6 2.1
63.8 3.1
252.1 3.1
125.7 2.0
467.7 2.0
166.8 3.0
102.0 3.4
128.4 2.8
215.5 2.0
178.0 2.5
272.9 3.0
134.2 2.7
238.7 2.2
1140.1 2.0
84.0 2.3
266.7 2.7
453.1 2.0
258.1 2.8
1338.5 3.1
90.1 2.0
479.3 2.7
355.7 2.9
73.7 3.0
63.6 2.0
169.1 2.7
91.4 2.7
36.7 2.3
52.6 3.1
227.7 2.0
142.9 1.0
418.8 2.2
350.9 3.1
20.9 3.2
30.7 3.1
87.9 3.2
371.3 3.0
182.8 2.2
75.0 2.5
155.4 2.3
1589.5 2.5
224.5 3.4
186.9 2.0
45.8 3.0
224.4 2.0
208.0 2.0
257.8 2.8
147.0 2.7
114.6 2.8
356.9 3.1
133.5 3.8
208.1 3.4
182.0 2.0
15.9 4.0
83.1 2.8
172.1 3.1
51.9 3.6
630.3 2.7
86.4 2.0
END
::estimated1 AWW2014 West NA
9.7 3.40556364890399
10.67 3.36893018851803
11.74 3.32689800618654
12.91 3.27946340118147
14.20 3.22592803996448
15.62 3.16611544756783
17.18 3.10000311799815
18.90 3.02730634052154
20.79 2.94833027853194
22.87 2.8631225288249
25.16 2.77189277673489
27.68 2.67499493106384
30.45 2.5728982845177
33.50 2.46581030224711
36.85 2.35438093711346
40.54 2.23866387589829
44.59 2.11941564097546
49.05 2.0224719380975
53.95 1.96297455372626
59.35 1.90144824965294
65.29 1.83802115787341
71.82 1.77272050166753
79.00 1.70549612653395
86.90 1.63624000569237
95.59 1.56488109229099
105.15 1.4912974463996
115.67 1.41532812047688
127.24 1.33684765752514
139.96 1.2556908935211
153.96 1.17154329506603
169.36 1.08419897910828
186.30 0.993372312437085
204.93 0.898763394054609
225.42 0.800010166026951
247.96 0.696698447137432
272.76 0.588368798309639
300.04 0.474561743264812
330.04 0.35477267340736
363.04 0.228379446258139
399.34 0.0947302459593482
439.27 -0.0468932706612541
483.20 -0.197305978559335
531.52 -0.357346695527933
584.67 -0.527978040638607
643.14 -0.710277499809658
707.45 -0.905371571771532
778.20 -1.11458546327412
856.02 -1.33928703122017
941.62 -1.58103251421951
1035.78 -1.84153048864676
1139.36 -2.12266554149489
1253.30 -2.42649430620343
1378.63 -2.75526926044304
1516.49 -3.11148719343142
1668.14 -3.4979096703472
END
::estimated2 AWW2014 East NA
9.7 4.11526364890399
10.67 4.07960018851803
11.74 4.03863800618654
12.91 3.99237340118147
14.20 3.94012803996448
15.62 3.88173544756783
17.18 3.81718311799815
18.90 3.74620634052154
20.79 3.66912027853194
22.87 3.5859925288249
25.16 3.49705277673489
27.68 3.40267493106384
30.45 3.3033482845177
33.50 3.19931030224711
36.85 3.09123093711346
40.54 2.97920387589829
44.59 2.86400564097546
49.05 2.7715219380975
53.95 2.74334170947259
59.35 2.72035882481661
65.29 2.69601248928816
71.82 2.67036081883076
79.00 2.64342179609749
86.90 2.61517982338249
95.59 2.58562505810769
105.15 2.55471886454866
115.67 2.52239870547366
127.24 2.48861058240458
139.96 2.45327803710098
153.96 2.40720029884176
169.36 2.33525598288401
186.30 2.26136931621282
204.93 2.18539039783034
225.42 2.10712716980268
247.96 2.02635545091316
272.76 1.94282580208537
300.04 1.85629874704054
330.04 1.76650967718309
363.04 1.67311645003387
399.34 1.57576724973508
439.27 1.47407373311448
483.20 1.36759102521639
531.52 1.2558703082478
584.67 1.13838896313712
643.14 1.01455950396607
707.45 0.883775432004198
778.20 0.745311540501607
856.02 0.598429972555564
941.62 0.442284489556223
1035.78 0.275946515128967
1139.36 0.0983914622808387
1253.30 -0.0914973024276965
1378.63 -0.294942256667312
1516.49 -0.51330018965569
1668.14 -0.748072666571471
END
::binned Mean intensity +/-1 STDEV binned by dist
9.7 4.0 0.00
13.0 3.8 0.21
17.3 3.7 0.18
23.1 3.4 0.16
30.8 3.2 0.19
41.1 3.0 0.24
54.8 3.0 0.23
73.0 2.8 0.26
97.4 2.7 0.35
129.9 2.8 0.31
173.2 2.6 0.45
231.0 2.6 0.55
308.0 2.5 0.68
410.7 2.6 0.67
547.7 2.3 0.80
730.3 2.0 0.71
973.9 3.0 0.75
1298.8 2.6 0.36
1731.9 2.3 0.26
END
::median Median intensity
9.7 4.0
13.0 3.7
17.3 3.7
23.1 3.4
30.8 3.2
41.1 3.1
54.8 3.1
73.0 2.8
97.4 2.8
129.9 2.9
173.2 2.7
231.0 2.5
308.0 2.4
410.7 2.7
547.7 2.1
730.3 2.1
973.9 3.1
1298.8 2.7
1731.9 2.2
END
